State,Subgroup Category,Sub Group,Measure,Estimate,Year
Arkansas,Adequacy of Prenatal care,ADEQUATE PNC,Alcohol use within 3 months before birth,53.5%,2011
Arkansas,Adequacy of Prenatal Care,Inadequate pnc,Alcohol use within 3 months before birth,28.7 %,2011
Arkansas,Adequacy prenatal care,UNKNOWN PNC,Alcohol use within 3 months before birth,Suppressed,2011
Arkansas,Birth Weight,LBW <=2500g,Binge drinking within 3 months before birth,21.5%,2011
Arkansas,Birth weight,Normal birthweight,Binge drinking within 3 months before birth,18.2%,2011
Colorado,Age Group,<20,Depression within 3 months before birth,16.4%,2011
Colorado,Age group,20-24,Depression within 3 months before birth,17.1%,2011
Colorado,Age group,25 to 34,Depression within 3 months before birth,NA,2011
Colorado,Age group,35+,Depression within 3 months before birth,14.0%,2011
Maine,Education,Less than high school,Anxiety within 3 months before birth,22.9%,2011
Maine,Education,High School/GED,Anxiety within 3 months before birth,20.1%,2011
Maine,Education,College Grad+,Anxiety within 3 months before birth,18.7%,2011
New York,Insurance,Medicaid,Alcohol use within 3 months before birth,31.4%,2011
New York,Insurance,Private insurance,Alcohol use within 3 months before birth,44.8%,2011
New York,Insurance,Self pay/other,Alcohol use within 3 months before birth,--,2011
Texas,Marital Status,Married,Depression within 3 months before birth,12.7%,2011
Texas,Marital status,Unmarried,Depression within 3 months before birth,19.9%,2011
Texas,Marital status,Unknown,Depression within 3 months before birth,not available,2011
Washington,Race/Ethnicity,Non-Hispanic White,Binge drinking within 3 months before birth,22.8%,2011
Washington,Race ethnicity,Hispanic,Binge drinking within 3 months before birth,13.5%,2011
Washington,Race ethnicity,Non Hispanic Black,Binge drinking within 3 months before birth,11.6%,2011
Washington,Race ethnicity,Other, Binge drinking within 3 months before birth,9.7%,2011
